TABLE NO.  1
 ID          TIME        DV          MDV         CMT         DL          IPRED       IWRES       DV          PRED        RES         WRES
  4.0000E+00  4.5000E+01  4.4412E-02  0.0000E+00  3.0000E+00  1.0000E+00  9.3941E-03  3.5018E-02  4.4412E-02  9.3941E-03  3.5018E-02  2.0134E-01
  4.0000E+00  6.0000E+01  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.9757E-04 -1.9757E-04  0.0000E+00  1.9757E-04  0.0000E+00  0.0000E+00
  4.0000E+00  6.0000E+01  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  1.9757E-04 -1.9757E-04  0.0000E+00  1.9757E-04  0.0000E+00  0.0000E+00
  4.0000E+00  6.0000E+01  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  1.9757E-04 -1.9757E-04  0.0000E+00  1.9757E-04  0.0000E+00  0.0000E+00
  4.0000E+00  9.0000E+01  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  2.5712E-06 -2.5712E-06  0.0000E+00  2.5712E-06  0.0000E+00  0.0000E+00
  4.0000E+00  9.0000E+01  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  2.5712E-06 -2.5712E-06  0.0000E+00  2.5712E-06  0.0000E+00  0.0000E+00
  4.0000E+00  9.0000E+01  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  2.5712E-06 -2.5712E-06  0.0000E+00  2.5712E-06  0.0000E+00  0.0000E+00
  4.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  4.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  4.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  5.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  5.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  5.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  5.0000E+00  2.0000E+00  7.4113E-01  0.0000E+00  1.0000E+00  1.0000E+00  8.2858E-01 -8.7457E-02  7.4113E-01  8.2858E-01 -8.7457E-02 -5.0284E-01
  5.0000E+00  2.0000E+00  1.0271E-01  0.0000E+00  2.0000E+00  1.0000E+00  3.4260E-02  6.8454E-02  1.0271E-01  3.4260E-02  6.8454E-02  3.9358E-01
  5.0000E+00  2.0000E+00  2.9757E-01  0.0000E+00  3.0000E+00  1.0000E+00  1.9007E-01  1.0750E-01  2.9757E-01  1.9007E-01  1.0750E-01  6.1806E-01
